"鄉鎮市區","交易標的","ADDRESS","土地移轉總面積.平方公尺.","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積.平方公尺.","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價.元.","單價.元.平方公尺.","車位類別","車位移轉總面積.平方公尺.","車位總價.元.","交易標的橫坐標","交易標的縱坐標","有無備註欄.Y.N.","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","AddressNew","Geometry"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１２號十二樓",39.19,"其他","","",1100107,"土地1建物1車位2","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,258.17,4,2,3,"有","有",30010000,141681,"坡道平面",76,4200000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPXVMLNJQHGGFBF66DA",106.46,12.93,0,"有","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街６號五樓",27.06,"其他","","",1100306,"土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,163.7,3,2,2,"有","有",19370000,138186,"坡道平面",38,2000000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPUWMLNJQHGGFBF09DA",74.16,8.24,0,"有","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新莊區","房地(土地+建物)","新北市新莊區中泰街１０７號三樓",23.49,"其他","","",1100611,"土地1建物1車位0","三層，陽台","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700109,96.91,3,2,2,"有","無",9050000,93386,"",0,0,295279,2771002,"Y","其他增建；","RPUNMLOJQHGGFBF28DA",96.91,0,0,"無","新北市新莊區中全里中泰街107號","POINT (121.44871326777211 25.046555200648822)"
"五股區","房地(土地+建物)","新北市五股區五工六路５６號",756.98,"","工業區","丁種建築用地",1100715,"土地1建物4車位0","一層，二層，夾層，地下層","四層","華廈(10層含以下有電梯)","辦公用","鋼筋混凝土造",810716,2747.8,0,0,0,"無","無",240000000,87343,"",0,0,295163,2773463,"N","","RPQQMLOJQHGGFBF18DA",2419.65,227.31,0,"有","新北市五股區興珍里五工六路56號","POINT (121.4476254272749 25.06874228223964)"
"林口區","房地(土地+建物)+車位","新北市林口區文化二路一段５７１號十七樓之一",31.5,"其他","","",1100519,"土地1建物1車位1","十七層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",990430,297.73,3,2,2,"有","有",25880000,86924,"坡道平面",36.93,0,287866,2774539,"N","","RPROMLSLPHGGFBF58DA",162.54,21.64,0,"有","新北市林口區湖南里文化二路一段571號","POINT (121.3755285665811 25.078117225468741)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街２號十樓",31.19,"其他","","",1100310,"土地1建物1車位2","十層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,220.96,3,2,2,"有","有",24500000,140039,"坡道平面",76,4200000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPWNMLNJQHGGFBF38DA",85.58,9.43,0,"有","新北市新莊區頭前里福德一街2號","POINT (121.46303915964209 25.056552537441071)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街２號六樓",31.19,"其他","","",1100110,"土地1建物1車位1","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,182.95,3,2,2,"有","有",21820000,136737,"坡道平面",38,2000000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPQNMLNJQHGGFBF77DA",85.58,9.43,0,"有","新北市新莊區頭前里福德一街2號","POINT (121.46303915964209 25.056552537441071)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街８號七樓",19.12,"其他","","",1100106,"土地1建物1車位1","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,125.13,2,1,1,"有","有",14460000,140878,"坡道平面",36.33,1950000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPXQMLNJQHGGFBF78DA",53.48,4.74,0,"有","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街８號六樓",19.12,"其他","","",1100508,"土地1建物1車位1","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,126.8,2,1,1,"有","有",14750000,143581,"坡道平面",38,2000000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPVQMLNJQHGGFBF58DA",53.48,4.74,0,"有","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街８號九樓",19.12,"其他","","",1100328,"土地1建物1車位1","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,125.13,2,1,1,"有","有",15100000,145833,"坡道平面",36.33,2150000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPRRMLNJQHGGFBF28DA",53.48,4.74,0,"有","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
